gbifID,datasetKey,occurrenceID,kingdom,phylum,class,order,family,genus,species,infraspecificEpithet,taxonRank,scientificName,verbatimScientificName,verbatimScientificNameAuthorship,countryCode,locality,stateProvince,occurrenceStatus,individualCount,publishingOrgKey,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,coordinatePrecision,elevation,elevationAccuracy,depth,depthAccuracy,eventDate,day,month,year,taxonKey,speciesKey,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,identifiedBy,dateIdentified,license,rightsHolder,recordedBy,typeStatus,establishmentMeans,lastInterpreted,mediaType,issue
980237886,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS245622278,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Pitangus,Pitangus sulphuratus,,SPECIES,"Pitangus sulphuratus (Linnaeus, 1766)",Pitangus sulphuratus,,BR,Sumidouro--área geral,Rio de Janeiro,PRESENT,8,e2e717bf-551a-4917-bdc9-4fa0f342c530,-22.048359,-42.671585,,,,,,,2013-10-17,17,10,2013,2482755,2482755,HUMAN_OBSERVATION,CLO,EBIRD,OBS245622278,,,,CC_BY_4_0,,obsr394935,,,2024-04-17T08:23:25.047Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
980184150,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS244390034,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Pitangus,Pitangus sulphuratus,,SPECIES,"Pitangus sulphuratus (Linnaeus, 1766)",Pitangus sulphuratus,,BR,Campo Grande,Mato Grosso do Sul,PRESENT,,e2e717bf-551a-4917-bdc9-4fa0f342c530,-20.50318,-54.66797,,,,,,,2013-05-05,5,5,2013,2482755,2482755,HUMAN_OBSERVATION,CLO,EBIRD,OBS244390034,,,,CC_BY_4_0,,obsr187238,,,2024-04-17T09:50:24.253Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
980180254,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS244392420,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Pitangus,Pitangus sulphuratus,,SPECIES,"Pitangus sulphuratus (Linnaeus, 1766)",Pitangus sulphuratus,,BR,"Fazenda Millenium, Maracaju",Mato Grosso do Sul,PRESENT,,e2e717bf-551a-4917-bdc9-4fa0f342c530,-21.565502,-55.280457,,,,,,,2013-05-24,24,5,2013,2482755,2482755,HUMAN_OBSERVATION,CLO,EBIRD,OBS244392420,,,,CC_BY_4_0,,obsr187238,,,2024-04-17T09:06:48.395Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
980140377,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS243555379,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Pitangus,Pitangus sulphuratus,,SPECIES,"Pitangus sulphuratus (Linnaeus, 1766)",Pitangus sulphuratus,,BR,Rua Ana de Barrros,São Paulo,PRESENT,3,e2e717bf-551a-4917-bdc9-4fa0f342c530,-23.469625,-46.63313,,,,,,,2013-01-18,18,1,2013,2482755,2482755,HUMAN_OBSERVATION,CLO,EBIRD,OBS243555379,,,,CC_BY_4_0,,obsr413795,,,2024-04-17T08:45:57.422Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
979569853,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS240451257,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Pitangus,Pitangus sulphuratus,,SPECIES,"Pitangus sulphuratus (Linnaeus, 1766)",Pitangus sulphuratus,,BR,Mostardas--Estrada da Praia do Barquinho,Rio Grande do Sul,PRESENT,6,e2e717bf-551a-4917-bdc9-4fa0f342c530,-31.051945,-50.9375,,,,,,,2013-12-29,29,12,2013,2482755,2482755,HUMAN_OBSERVATION,CLO,EBIRD,OBS240451257,,,,CC_BY_4_0,,obsr252322,,,2024-04-17T09:50:51.961Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
979291095,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS238656513,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Pitangus,Pitangus sulphuratus,,SPECIES,"Pitangus sulphuratus (Linnaeus, 1766)",Pitangus sulphuratus,,BR,Bonito,Pernambuco,PRESENT,5,e2e717bf-551a-4917-bdc9-4fa0f342c530,-8.472372,-35.722218,,,,,,,2013-04-16,16,4,2013,2482755,2482755,HUMAN_OBSERVATION,CLO,EBIRD,OBS238656513,,,,CC_BY_4_0,,obsr168048,,,2024-04-17T08:45:44.051Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
979236354,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS238153711,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Pitangus,Pitangus sulphuratus,,SPECIES,"Pitangus sulphuratus (Linnaeus, 1766)",Pitangus sulphuratus,,BR,Avaré--AFPESP URL Avaré,São Paulo,PRESENT,,e2e717bf-551a-4917-bdc9-4fa0f342c530,-23.250217,-48.990334,,,,,,,2013-03-22,22,3,2013,2482755,2482755,HUMAN_OBSERVATION,CLO,EBIRD,OBS238153711,,,,CC_BY_4_0,,obsr497156,,,2024-04-17T08:45:45.537Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
979222744,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS238157838,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Pitangus,Pitangus sulphuratus,,SPECIES,"Pitangus sulphuratus (Linnaeus, 1766)",Pitangus sulphuratus,,BR,Santo André--Jardim Memorial,São Paulo,PRESENT,,e2e717bf-551a-4917-bdc9-4fa0f342c530,-23.680058,-46.503304,,,,,,,2013-07-12,12,7,2013,2482755,2482755,HUMAN_OBSERVATION,CLO,EBIRD,OBS238157838,,,,CC_BY_4_0,,obsr497156,,,2024-04-17T08:45:34.037Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
979103760,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS236978169,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Pitangus,Pitangus sulphuratus,,SPECIES,"Pitangus sulphuratus (Linnaeus, 1766)",Pitangus sulphuratus,,BR,Santo André--Parque Central,São Paulo,PRESENT,18,e2e717bf-551a-4917-bdc9-4fa0f342c530,-23.676266,-46.529976,,,,,,,2013-07-05,5,7,2013,2482755,2482755,HUMAN_OBSERVATION,CLO,EBIRD,OBS236978169,,,,CC_BY_4_0,,obsr497156,,,2024-04-17T09:50:23.429Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
979099995,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS236982879,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Pitangus,Pitangus sulphuratus,,SPECIES,"Pitangus sulphuratus (Linnaeus, 1766)",Pitangus sulphuratus,,BR,Santo André--Parque Regional,São Paulo,PRESENT,14,e2e717bf-551a-4917-bdc9-4fa0f342c530,-23.649714,-46.519333,,,,,,,2013-07-04,4,7,2013,2482755,2482755,HUMAN_OBSERVATION,CLO,EBIRD,OBS236982879,,,,CC_BY_4_0,,obsr497156,,,2024-04-17T08:25:15.606Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
